name,polarity,rt,chromat,mz,isotopologue_version,notes
homarine,1,5.5,HILIC,138.0549,,molecular formula = C7H7NO2
unknown_C6H9NO4_pos,1,12,HILIC,160.061,,
unknown_C6H9NO4_neg,-1,3.5,HILIC,158.0453,,
unknown_C6H9NO3_1_neg,-1,10,HILIC,142.0504,,left peak
unknown_C6H9NO3_2_neg,-1,11,HILIC,142.0504,,middle peak
unknown_C6H9NO3_3_neg,-1,12,HILIC,142.0504,,right peak
n-methyl glutamine,1,9.5,HILIC,161.0921,,molecular formula = C6H12N2O3
unknown_C7H9NO5_pos,1,12,HILIC,188.055899,,
n-methyl glutamic acid,1,10,HILIC,162.0759,,molecular formula = C6H11NO4
unknown_C7H11NO3_pos,1,8.4,HILIC,158.0817,,
unknown_C6H11NO2_pos,1,10.7,HILIC,130.0868,,
unknown_C6H9NO4_pos_early,1,3.6,HILIC,160.061,,
homarine_D1,1,5.5,HILIC,139.0611767,D1,
unknown_C6H9NO4_pos_D1,1,12,HILIC,161.0672767,D1,
unknown_C6H9NO4_neg_D1,-1,3.5,HILIC,159.0515767,D1,
unknown_C6H9NO3_1_neg_D1,-1,10,HILIC,143.0566767,D1,left peak
unknown_C6H9NO3_2_neg_D1,-1,11,HILIC,143.0566767,D1,middle peak
unknown_C6H9NO3_3_neg_D1,-1,12,HILIC,143.0566767,D1,right peak
n-methyl glutamine_D1,1,9.5,HILIC,162.0983767,D1,
unknown_C7H9NO5_pos_D1,1,12,HILIC,189.0621757,D1,
n-methyl glutamic acid_D1,1,10,HILIC,163.0821767,D1,
unknown_C7H11NO3_pos_D1,1,8.4,HILIC,159.0879767,D1,
unknown_C6H11NO2_pos_D1,1,10.7,HILIC,131.0930767,D1,
unknown_C6H9NO4_pos_early_D1,1,3.6,HILIC,161.0672767,D1,
homarine_D2,1,5.5,HILIC,140.0674535,D2,
unknown_C6H9NO4_pos_D2,1,12,HILIC,162.0735535,D2,
unknown_C6H9NO4_neg_D2,-1,3.5,HILIC,160.0578535,D2,
unknown_C6H9NO3_1_neg_D2,-1,10,HILIC,144.0629535,D2,left peak
unknown_C6H9NO3_2_neg_D2,-1,11,HILIC,144.0629535,D2,middle peak
unknown_C6H9NO3_3_neg_D2,-1,12,HILIC,144.0629535,D2,right peak
n-methyl glutamine_D2,1,9.5,HILIC,163.1046535,D2,
unknown_C7H9NO5_pos_D2,1,12,HILIC,190.0684525,D2,
n-methyl glutamic acid_D2,1,10,HILIC,164.0884535,D2,
unknown_C7H11NO3_pos_D2,1,8.4,HILIC,160.0942535,D2,
unknown_C6H11NO2_pos_D2,1,10.7,HILIC,132.0993535,D2,
unknown_C6H9NO4_pos_early_D2,1,3.6,HILIC,162.0735535,D2,
homarine_D3,1,5.5,HILIC,141.0737302,D3,
unknown_C6H9NO4_pos_D3,1,12,HILIC,163.0798302,D3,
unknown_C6H9NO4_neg_D3,-1,3.5,HILIC,161.0641302,D3,
unknown_C6H9NO3_1_neg_D3,-1,10,HILIC,145.0692302,D3,left peak
unknown_C6H9NO3_2_neg_D3,-1,11,HILIC,145.0692302,D3,middle peak
unknown_C6H9NO3_3_neg_D3,-1,12,HILIC,145.0692302,D3,right peak
n-methyl glutamine_D3,1,9.5,HILIC,164.1109302,D3,
unknown_C7H9NO5_pos_D3,1,12,HILIC,191.0747292,D3,
n-methyl glutamic acid_D3,1,10,HILIC,165.0947302,D3,
unknown_C7H11NO3_pos_D3,1,8.4,HILIC,161.1005302,D3,
unknown_C6H11NO2_pos_D3,1,10.7,HILIC,133.1056302,D3,
unknown_C6H9NO4_pos_early_D3,1,3.6,HILIC,163.0798302,D3,
